ROUTE,AVERAGE_CO2_PER_PERSON_TONNES,AVERAGE_CO2_PER_PERSON_KG,AVERAGE_CO2_TONNES,FLIGHT_COUNT
CDG-PER,1.3323180458624129,1332.3180458624129,267.26300000000003,2
BOM-JFK,1.3319881011789656,1331.9881011789655,381.195,2
AMS-CGK,1.3308242787560887,1330.8242787560887,355.197,8
AKL-IAH,1.330092036814726,1330.092036814726,332.39000000000004,6
DFW-NRT,1.3273759965524672,1327.375996552467,325.0561666666667,6
DOH-ZAZ,1.3265922920892494,1326.5922920892494,196.203,2
DXB-SFO,1.3262117160913953,1326.2117160913954,545.6034999999999,2
AGP-CEG,1.3254901960784313,1325.4901960784314,6.76,1
IAH-TPE,1.323926868044515,1323.926868044515,374.7375,4
CCS-VKO,1.3156694075479656,1315.6694075479656,312.011,1
HND-IAD,1.3128040636544474,1312.8040636544474,240.2603333333333,12
EWR-HND,1.3104305200341004,1310.4305200341005,307.427,4
AGP-FAB,1.3101960784313726,1310.1960784313726,6.682,1
DXB-IAH,1.3080845892075839,1308.0845892075838,538.146,2
PVG-YYZ,1.3063216679076697,1306.3216679076697,315.03366666666665,3
BOH-FOC,1.2990444713238831,1299.044471323883,334.03200000000004,4
DFW-SYD,1.295805084745763,1295.805084745763,259.9385,4
FRA-SIN,1.2910809210956973,1291.0809210956972,379.33721951219513,41
PVG-ZRH,1.2907824897400821,1290.7824897400822,235.8905,2
ORD-TPE,1.2890602367072956,1289.0602367072956,401.473,12
LAX-SZX,1.2884338944581049,1288.4338944581048,288.7856,5
ADD-GRU,1.2767927793339555,1276.7927793339554,341.86126666666667,15
BNE-SFO,1.2757993886250152,1275.7993886250151,321.5322,10
IAD-RUH,1.2756004056795132,1275.6004056795132,314.4355,6
DXB-ORD,1.2743409586056647,1274.3409586056646,350.95349999999996,2
CAN-JFK,1.2696024116017601,1269.6024116017602,389.5775,2
DOH-MFM,1.2679803921568629,1267.9803921568628,176.4865,6
SFO-SYD,1.267615006602002,1267.615006602002,318.99583333333334,24
HKG-LAX,1.2634551020761935,1263.4551020761935,337.6037058823529,34
DFW-DXB,1.26296100462657,1262.96100462657,382.172,2
BCN-MEX,1.262117257499026,1262.117257499026,323.9855,4
HND-LHR,1.2602181837952666,1260.2181837952667,232.51395833333333,24
DXB-GRU,1.260168935342732,1260.168935342732,518.4335,4
IAH-NRT,1.25770673486786,1257.7067348678602,295.058,4
DEL-ORD,1.2539641943734017,1253.9641943734016,367.725,2
DEL-YVR,1.2535294117647058,1253.5294117647059,367.59749999999997,2
LHR-SCL,1.245909586056645,1245.909586056645,228.749,4
BOS-NRT,1.2440534367593192,1244.0534367593193,206.20185714285714,7
EWR-NCE,1.2364396284829722,1236.4396284829722,79.874,1
SYD-YVR,1.2356580028043258,1235.6580028043259,291.93376470588237,17
JFK-RUH,1.2341866125760648,1234.1866125760648,304.227,2
DXB-MCO,1.231615154536391,1231.615154536391,370.593,2
HND-MXP,1.231482900136799,1231.4829001367991,225.05349999999999,4
FRA-HND,1.2288323712311402,1228.83237123114,276.0201666666667,12
